Species,Longitude,Latitude
Quercus insignis,-104.5319648,19.83225739
Quercus insignis,-104.5318589,19.83257339
Quercus insignis,-104.5335799,19.82857467
Quercus insignis,-104.5341424,19.82886532
Quercus insignis,-104.5339737,19.82777144
Quercus insignis,-104.5334326,19.82997497
Quercus insignis,-104.5327108,19.82861758
Quercus insignis,-104.53339,19.82820368
Quercus insignis,-104.5347322,19.82638178
Quercus insignis,-104.5368178,19.82502267
Quercus insignis,-104.538807,19.82399764
Quercus insignis,-104.5373424,19.81862609
Quercus insignis,-104.5349789,19.82690655
Quercus insignis,-104.5368039,19.82654079
Quercus insignis,-104.5378877,19.82487182
Quercus insignis,-104.5398867,19.82376548
Quercus insignis,-104.543078,19.82307785
Quercus insignis,-104.5446002,19.82167203
Quercus insignis,-104.5466567,19.82046635
Quercus insignis,-104.5483858,19.82017252
Quercus insignis,-104.5507419,19.82103695
Quercus insignis,-104.552346,19.82107712
Quercus insignis,-104.5555574,19.82000978
Quercus insignis,-104.5582548,19.81829951
