gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,locality,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1989225288,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,a755316b-91c5-4527-9c52-ce9137580912,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,BZ,Contact UM Herbarium,174c6da2-e002-42fe-9f56-2f9d670240f4,,,,,,,,,1934-06-19T00:00:00Z,19,6,1934,2880526,2880526,PRESERVED_SPECIMEN,MICH,Angiosperms,1264389,,,,CC_BY_NC_4_0,,William A. Schipp,,,2019-01-23T04:07:09.897Z,,
1989165914,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,978d1948-c401-4f02-adb4-99c5f4816fa5,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,MX,Contact UM Herbarium,174c6da2-e002-42fe-9f56-2f9d670240f4,,,,,,,,,1934-06-19T00:00:00Z,19,6,1934,2880526,2880526,PRESERVED_SPECIMEN,MICH,Angiosperms,1238893,,,,CC_BY_NC_4_0,,William A. Schipp,,,2019-01-23T04:06:33.426Z,,
1989078979,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,8095a126-5a22-40e6-8547-086afb38ce6a,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,HN,Contact UM Herbarium,174c6da2-e002-42fe-9f56-2f9d670240f4,,,,,,,,,1973-08-12T00:00:00Z,12,8,1973,2880526,2880526,PRESERVED_SPECIMEN,MICH,Angiosperms,1264591,,,,CC_BY_NC_4_0,,Antonio Molina R.,,,2019-01-23T04:05:30.107Z,,
1988906141,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,52695645-4096-4a82-b047-3de4e5e22b8e,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,CR,Contact UM Herbarium,174c6da2-e002-42fe-9f56-2f9d670240f4,,,,,,,,,1952-03-18T00:00:00Z,18,3,1952,2880526,2880526,PRESERVED_SPECIMEN,MICH,Angiosperms,1238894,,,,CC_BY_NC_4_0,,Harvey E. Stork,,,2019-01-23T04:03:41.667Z,,
1988738329,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,25c8ac11-35c0-481a-a079-bee388c98e6b,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,BZ,Contact UM Herbarium,174c6da2-e002-42fe-9f56-2f9d670240f4,,,,,,,,,1934-06-23T00:00:00Z,23,6,1934,2880526,2880526,PRESERVED_SPECIMEN,MICH,Angiosperms,1109377,,,,CC_BY_NC_4_0,,William A. Schipp,,,2019-01-23T04:01:47.349Z,,
1946312408,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/18418092,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,MX,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,17.185695,-93.114344,61.0,,,,,,2018-11-15T11:58:00Z,15,11,2018,2880526,2880526,HUMAN_OBSERVATION,iNaturalist,Observations,18418092,,,2018-11-15T23:13:44Z,CC_BY_NC_4_0,Neptal° Ram°rez Marcial,Neptal° Ram°rez Marcial,,,2018-12-18T17:22:24.798Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1936683538,834c9918-f762-11e1-a439-00145eb45e9a,601821e7-20fe-11e3-9e2e-000c29035824,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,HN,"Comayagua  between Siguatepeque and Lago de Yojoa, at turning off main road to east at La Misi¢n",0363cbd4-f666-455e-8e86-0bbddcf51950,,,,,,,,,1991-09-25T00:00:00Z,25,9,1991,2880526,2880526,PRESERVED_SPECIMEN,MA,MA,MA-01-00766988,74,,,CC_BY_NC_4_0,,M. Chorley,,,2018-12-08T04:13:55.115Z,STILLIMAGE,
1931004135,d415c253-4d61-4459-9d25-4015b9084fb0,e4ecb111-c676-46dd-9a05-4abfc9edc57a,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,,,ae447c50-b8a8-11d8-92a4-b8a03c50a862,,,,,,,,,,,,,2880526,2880526,PRESERVED_SPECIMEN,NY,NY,1450182,,,,CC0_1_0,The New York Botanical Garden,,,,2018-12-13T21:47:35.551Z,STILLIMAGE,
1930504624,d415c253-4d61-4459-9d25-4015b9084fb0,c187745e-408d-49a0-b91a-257ee3316dcd,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,,,ae447c50-b8a8-11d8-92a4-b8a03c50a862,,,,,,,,,,,,,2880526,2880526,PRESERVED_SPECIMEN,NY,NY,1450178,,,,CC0_1_0,The New York Botanical Garden,,,,2018-12-13T21:23:22.918Z,STILLIMAGE,
1930058449,d415c253-4d61-4459-9d25-4015b9084fb0,a23f328f-fad5-47b2-9a3a-375a3843f2c8,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus insignis,,SPECIES,Quercus insignis M.Martens & Galeotti,,,ae447c50-b8a8-11d8-92a4-b8a03c50a862,,,,,,,,,,,,,2880526,2880526,PRESERVED_SPECIMEN,NY,NY,1095246,,,,CC0_1_0,The New York Botanical Garden,,,,2018-12-13T21:14:22.112Z,STILLIMAGE,
